Date,Open,High,Low,Close,Volume
05/27/2025,"134.15","135.66","133.31","135.50","192,953,594"
05/23/2025,"130.00","132.68","129.16","131.29","198,821,297"
05/22/2025,"132.23","134.25","131.55","132.83","187,344,000"
05/21/2025,"133.06","137.40","130.59","131.80","270,608,719"
05/20/2025,"134.29","134.58","132.62","134.38","161,514,203"
05/19/2025,"132.39","135.87","132.39","135.57","193,154,594"
05/16/2025,"136.22","136.35","133.46","135.40","226,542,500"
05/15/2025,"134.30","136.30","132.66","134.83","226,632,609"
05/14/2025,"133.20","135.44","131.68","135.34","281,180,812"
05/13/2025,"124.98","131.22","124.47","129.93","330,430,125"
05/12/2025,"121.97","123.00","120.28","123.00","225,023,297"
05/09/2025,"117.35","118.23","115.21","116.65","132,972,203"
05/08/2025,"118.25","118.68","115.85","117.37","198,428,094"
05/07/2025,"113.05","117.68","112.28","117.06","207,827,812"
05/06/2025,"111.48","114.74","110.82","113.54","158,525,594"
05/05/2025,"112.91","114.67","112.66","113.82","133,163,203"
05/02/2025,"114.18","115.40","113.37","114.50","190,194,797"
05/01/2025,"113.08","114.94","111.30","111.61","236,121,500"
04/30/2025,"104.47","108.92","104.08","108.92","235,044,609"
04/29/2025,"107.67","110.20","107.44","109.02","170,444,297"
04/28/2025,"109.69","110.37","106.02","108.73","207,708,500"
04/25/2025,"106.85","111.92","105.73","111.01","251,064,703"
04/24/2025,"103.48","106.54","103.11","106.43","220,815,016"
04/23/2025,"104.52","104.80","102.02","102.71","247,526,000"
04/22/2025,"98.78","99.81","97.28","98.89","241,004,797"
04/21/2025,"98.77","99.44","95.04","96.91","288,501,094"
04/17/2025,"104.45","104.47","100.05","101.49","292,517,500"
04/16/2025,"104.55","106.79","100.45","104.49","397,016,906"
04/15/2025,"110.97","113.62","110.50","112.20","228,966,891"
04/14/2025,"114.11","114.29","109.07","110.71","264,705,000"
04/11/2025,"108.50","111.55","107.48","110.93","313,417,312"
04/10/2025,"109.37","110.86","99.15","107.57","437,812,406"
04/09/2025,"98.89","115.10","97.53","114.33","612,918,250"
04/08/2025,"103.81","105.85","94.46","96.30","476,243,406"
04/07/2025,"87.46","101.75","86.62","97.64","611,041,250"
04/04/2025,"98.91","100.13","92.11","94.31","532,273,812"
04/03/2025,"103.51","105.63","101.60","101.80","338,769,406"
04/02/2025,"107.29","111.98","106.79","110.42","220,601,203"
04/01/2025,"108.52","110.20","106.47","110.15","222,614,000"
03/31/2025,"105.13","110.96","103.65","108.38","299,212,719"
03/28/2025,"111.49","112.87","109.07","109.67","229,872,500"
03/27/2025,"111.35","114.45","110.66","111.43","236,902,094"
03/26/2025,"118.73","118.84","112.71","113.76","296,431,719"
03/25/2025,"120.55","121.29","118.92","120.69","167,447,203"
03/24/2025,"119.88","122.22","119.34","121.41","228,452,500"
03/21/2025,"116.94","117.99","115.42","117.70","266,498,500"
03/20/2025,"116.55","120.20","116.47","118.53","248,829,703"
03/19/2025,"117.27","120.45","115.68","117.52","273,426,219"
03/18/2025,"118.00","119.02","114.54","115.43","299,686,906"
03/17/2025,"122.74","122.89","118.03","119.53","255,501,500"
03/14/2025,"118.61","121.88","118.15","121.67","277,593,500"
03/13/2025,"117.03","117.76","113.79","115.58","299,033,094"
03/12/2025,"114.12","116.76","112.88","115.74","323,857,500"
03/11/2025,"106.99","112.24","104.77","108.76","354,865,688"
03/10/2025,"109.90","111.85","105.46","106.98","366,487,406"
03/07/2025,"111.25","113.48","107.56","112.69","341,755,500"
03/06/2025,"113.53","115.35","110.22","110.57","321,181,875"
03/05/2025,"117.58","118.28","114.51","117.30","284,337,875"
03/04/2025,"110.65","119.31","110.11","115.99","398,163,281"
03/03/2025,"123.51","123.70","112.28","114.06","411,381,406"
02/28/2025,"118.02","125.09","116.40","124.92","389,091,094"
02/27/2025,"135.00","135.01","120.01","120.15","443,175,812"
02/26/2025,"129.99","133.73","128.49","131.28","322,553,781"
02/25/2025,"129.98","130.20","124.44","126.63","271,428,719"
02/24/2025,"136.56","138.59","130.08","130.28","251,381,109"
02/21/2025,"140.04","141.46","134.03","134.43","228,217,594"
02/20/2025,"140.03","140.66","136.79","140.11","143,903,594"
02/19/2025,"139.51","141.36","137.22","139.23","167,536,000"
02/18/2025,"141.27","143.44","137.93","139.40","219,176,609"
02/14/2025,"136.48","139.25","135.50","138.85","195,479,594"
02/13/2025,"131.56","136.50","131.17","135.29","197,430,000"
02/12/2025,"130.02","132.24","129.08","131.14","160,278,594"
02/11/2025,"132.58","134.48","131.02","132.80","178,902,406"
02/10/2025,"130.09","135.00","129.96","133.57","216,989,109"
02/07/2025,"129.22","130.37","125.00","129.84","228,186,297"
02/06/2025,"127.42","128.77","125.21","128.68","251,483,594"
02/05/2025,"121.76","125.00","120.76","124.83","263,110,594"
02/04/2025,"116.96","121.20","116.70","118.65","256,550,000"
02/03/2025,"114.75","118.57","113.01","116.66","371,235,719"
01/31/2025,"123.78","127.85","119.19","120.07","390,372,906"
01/30/2025,"123.10","125.00","118.10","124.65","392,925,500"
01/29/2025,"126.50","126.89","120.05","123.70","467,120,594"
01/28/2025,"121.81","129.00","116.25","128.99","579,666,438"
01/27/2025,"124.80","128.40","116.70","118.42","818,830,938"
01/24/2025,"148.37","148.97","141.88","142.62","234,657,594"
01/23/2025,"145.05","147.23","143.72","147.22","155,915,500"
01/22/2025,"144.66","147.79","143.67","147.07","237,651,391"
01/21/2025,"139.16","141.83","137.09","140.83","197,748,984"
01/17/2025,"136.69","138.50","135.46","137.71","201,188,797"
01/16/2025,"138.64","138.75","133.49","133.57","209,235,594"
01/15/2025,"133.65","136.45","131.29","136.24","185,217,297"
01/14/2025,"136.05","136.38","130.05","131.76","195,590,500"
01/13/2025,"129.99","133.49","129.51","133.23","204,808,891"
01/10/2025,"137.45","139.92","134.22","135.91","207,602,500"
01/08/2025,"142.58","143.95","137.56","140.11","227,349,906"
01/07/2025,"153.03","153.13","140.01","140.14","351,782,219"
01/06/2025,"148.59","152.16","147.82","149.43","265,377,406"
01/03/2025,"140.01","144.90","139.73","144.47","229,322,500"
01/02/2025,"136.00","138.88","134.63","138.31","198,247,203"
12/31/2024,"138.03","138.07","133.83","134.29","155,659,203"
12/30/2024,"134.83","140.27","134.02","137.49","167,734,703"
12/27/2024,"138.55","139.02","134.71","137.01","170,582,594"
12/26/2024,"139.70","140.85","137.73","139.93","116,519,102"
12/24/2024,"140.00","141.90","138.65","140.22","105,157,000"
12/23/2024,"136.28","139.79","135.12","139.67","176,053,500"
12/20/2024,"129.81","135.28","128.22","134.70","306,528,594"
12/19/2024,"131.76","134.03","129.55","130.68","209,719,203"
12/18/2024,"133.86","136.70","128.28","128.91","277,444,500"
12/17/2024,"129.09","131.59","126.86","130.39","259,410,297"
12/16/2024,"134.18","134.40","130.42","132.00","237,951,109"
12/13/2024,"138.94","139.60","132.54","134.25","231,514,891"
12/12/2024,"137.08","138.44","135.80","137.34","159,211,391"
12/11/2024,"137.36","140.17","135.21","139.31","184,905,203"
12/10/2024,"139.01","141.82","133.79","135.07","210,020,891"
12/09/2024,"138.97","139.95","137.13","138.81","189,308,609"
12/06/2024,"144.60","145.70","141.31","142.44","188,505,594"
12/05/2024,"145.11","146.54","143.95","145.06","172,621,203"
12/04/2024,"142.00","145.79","140.29","145.14","231,224,297"
12/03/2024,"138.26","140.54","137.95","140.26","164,414,000"
12/02/2024,"138.83","140.45","137.83","138.63","171,682,797"
11/29/2024,"136.78","139.35","136.05","138.25","141,863,203"
11/27/2024,"135.01","137.22","131.80","135.34","226,370,891"
11/26/2024,"137.70","139.30","135.67","136.92","190,287,703"
11/25/2024,"141.99","142.05","135.82","136.02","344,941,875"
11/22/2024,"145.93","147.16","141.10","141.95","236,406,203"
11/21/2024,"149.35","152.89","140.70","146.67","400,946,594"
11/20/2024,"147.41","147.56","142.73","145.89","309,871,719"
11/19/2024,"141.32","147.13","140.99","147.01","227,834,891"
11/18/2024,"139.50","141.55","137.15","140.15","221,866,000"
11/15/2024,"144.87","145.24","140.08","141.98","250,132,891"
11/14/2024,"147.64","149.00","145.55","146.76","194,463,297"
11/13/2024,"149.07","149.33","145.90","146.27","191,903,297"
11/12/2024,"146.78","149.65","146.01","148.29","198,634,703"
11/11/2024,"148.68","148.85","143.57","145.26","182,325,594"
11/08/2024,"148.77","149.77","146.26","147.63","175,665,797"
11/07/2024,"146.39","148.93","146.17","148.88","207,323,297"
11/06/2024,"142.96","146.49","141.96","145.61","242,043,906"
11/05/2024,"137.45","140.37","137.33","139.91","160,537,406"
11/04/2024,"137.21","138.96","135.57","136.05","187,528,188"
11/01/2024,"134.70","137.31","134.57","135.40","207,127,812"
10/31/2024,"137.60","137.61","132.11","132.76","270,039,625"
10/30/2024,"139.54","140.33","136.81","139.34","179,418,094"
10/29/2024,"140.29","142.26","138.90","141.25","157,593,594"
10/28/2024,"143.00","143.14","140.05","140.52","173,586,703"
10/25/2024,"140.93","144.13","140.80","141.54","205,122,094"
10/24/2024,"140.82","141.35","138.46","140.41","172,354,891"
10/23/2024,"142.03","142.43","137.46","139.56","285,929,969"
10/22/2024,"142.91","144.42","141.78","143.59","226,311,594"
10/21/2024,"138.13","143.71","138.00","143.71","264,554,500"
10/18/2024,"138.67","138.90","137.28","138.00","176,090,203"
10/17/2024,"139.34","140.89","136.87","136.93","306,435,906"
10/16/2024,"133.98","136.62","131.58","135.72","264,879,688"
10/15/2024,"137.87","138.57","128.74","131.60","377,831,000"
10/14/2024,"136.47","139.60","136.30","138.07","232,347,703"
10/11/2024,"134.01","135.78","133.66","134.80","170,209,500"
10/10/2024,"131.91","135.00","131.00","134.81","242,311,297"
10/09/2024,"134.11","134.52","131.38","132.65","246,191,594"
10/08/2024,"130.26","133.48","129.42","132.89","285,722,500"
10/07/2024,"124.99","130.64","124.95","127.72","346,250,219"
10/04/2024,"124.94","125.04","121.83","124.92","244,465,594"
10/03/2024,"120.92","124.36","120.34","122.85","277,118,031"
10/02/2024,"116.44","119.38","115.14","118.85","221,845,906"
10/01/2024,"121.77","122.44","115.79","117.00","302,094,500"
09/30/2024,"118.31","121.50","118.15","121.44","227,053,703"
09/27/2024,"123.97","124.03","119.26","121.40","271,009,219"
09/26/2024,"126.80","127.67","121.80","124.04","302,582,906"
09/25/2024,"122.02","124.94","121.61","123.51","284,692,906"
09/24/2024,"116.52","121.80","115.38","120.87","354,966,781"
09/23/2024,"116.55","116.99","114.86","116.26","206,228,500"
09/20/2024,"117.06","118.62","115.39","116.00","382,462,406"
09/19/2024,"117.35","119.66","117.25","117.87","293,506,406"
09/18/2024,"115.89","117.70","113.22","113.37","310,318,906"
09/17/2024,"118.17","118.80","114.83","115.59","231,925,906"
09/16/2024,"116.79","118.18","114.36","116.78","248,772,297"
09/13/2024,"119.08","119.96","117.60","119.10","238,358,297"
09/12/2024,"116.84","120.79","115.38","119.14","367,100,500"
09/11/2024,"109.39","117.19","107.42","116.91","441,422,406"
09/10/2024,"107.81","109.40","104.95","108.10","268,283,688"
09/09/2024,"104.88","106.55","103.69","106.47","273,912,000"
09/06/2024,"108.04","108.15","100.95","102.83","413,638,125"
09/05/2024,"104.99","109.65","104.76","107.21","306,850,688"
09/04/2024,"105.41","113.27","104.12","106.21","372,470,312"
09/03/2024,"116.01","116.21","107.29","108.00","474,972,000"
08/30/2024,"119.53","121.75","117.22","119.37","333,751,625"
08/29/2024,"121.36","124.43","116.71","117.59","453,023,281"
08/28/2024,"128.12","128.33","122.64","125.61","448,101,094"
08/27/2024,"125.05","129.20","123.88","128.30","303,134,594"
08/26/2024,"129.57","131.26","124.37","126.46","331,964,719"
08/23/2024,"125.86","129.60","125.22","129.37","323,230,312"
08/22/2024,"130.02","130.75","123.10","123.74","376,189,094"
08/21/2024,"127.32","129.35","126.66","128.50","257,883,594"
08/20/2024,"128.40","129.88","125.89","127.25","300,087,406"
08/19/2024,"124.28","130.00","123.42","130.00","318,333,594"
08/16/2024,"121.94","125.00","121.18","124.58","302,589,875"
08/15/2024,"118.76","123.24","117.47","122.86","318,086,688"
08/14/2024,"118.53","118.60","114.07","118.08","339,246,406"
08/13/2024,"112.44","116.23","111.58","116.14","312,646,688"
08/12/2024,"106.32","111.07","106.26","109.02","325,559,906"
08/09/2024,"105.64","106.60","103.43","104.75","290,844,188"
08/08/2024,"102.00","105.50","97.52","104.97","391,910,031"
08/07/2024,"107.81","108.80","98.69","98.91","411,440,375"
08/06/2024,"103.84","107.71","100.55","104.25","409,012,094"
08/05/2024,"92.06","103.41","90.69","100.45","552,842,375"
08/02/2024,"103.76","108.72","101.37","107.27","482,027,500"
08/01/2024,"117.53","120.16","106.81","109.21","523,462,312"
07/31/2024,"112.90","118.34","110.88","117.02","473,174,219"
07/30/2024,"111.52","111.99","102.54","103.73","486,833,312"
07/29/2024,"113.69","116.28","111.30","111.59","248,152,094"
07/26/2024,"116.19","116.20","111.58","113.06","293,399,094"
07/25/2024,"113.04","116.63","106.30","112.28","460,067,000"
07/24/2024,"119.17","119.95","113.44","114.25","327,776,906"
07/23/2024,"122.78","124.69","122.10","122.59","173,911,016"
07/22/2024,"120.35","124.07","119.86","123.54","258,068,891"
07/19/2024,"120.35","121.60","117.37","117.93","217,223,812"
07/18/2024,"121.85","122.40","116.56","121.09","320,979,500"
07/17/2024,"121.35","121.85","116.72","117.99","390,086,219"
07/16/2024,"128.44","129.04","124.58","126.36","214,769,500"
07/15/2024,"130.56","131.39","127.18","128.44","208,326,203"
07/12/2024,"128.26","131.92","127.22","129.24","252,680,500"
07/11/2024,"135.75","136.15","127.05","127.40","374,782,688"
